ï»¿LastUpdate,OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,Shape__Area,Shape__Length,Deaths
2020/05/07 16:47:48.116+00,67,67,Eastland,48133,133,199101.124659,3,2404189935.92871,199101.124658637,
2020/05/07 16:47:48.116+00,68,68,Ector,48135,135,192916.945362,90,2325884701.14111,192916.945361807,4
2020/05/07 16:47:48.116+00,69,69,Edwards,48137,137,343497.339922,,5469905328.1123,343497.339921689,
2020/05/07 16:47:48.116+00,70,70,Ellis,48139,139,224794.812126,188,2455391007.70605,224794.812125863,10
2020/05/07 16:47:48.116+00,71,71,El Paso,48141,141,248061.353037,1119,2617755045.979,248061.353037442,23
2020/05/07 16:47:48.116+00,72,72,Erath,48143,143,216024.717764,15,2811378055.58301,216024.717764494,1
2020/05/07 16:47:48.116+00,73,73,Falls,48145,145,182263.145861,6,1995713609.8457,182263.145860665,
2020/05/07 16:47:48.116+00,74,74,Fannin,48147,147,233225.218711,23,2322011851.00195,233225.21871111,1
2020/05/07 16:47:48.116+00,75,75,Fayette,48149,149,208378.017996,19,2476781722.29883,208378.017995886,1
2020/05/07 16:47:48.116+00,76,76,Fisher,48151,151,192913.441204,,2327124508.80176,192913.441204056,
2020/05/07 16:47:48.116+00,77,77,Floyd,48153,153,202937.484945,4,2565834285.86816,202937.484944568,
2020/05/07 16:47:48.116+00,78,78,Foard,48155,155,240824.324691,,1829172429.57129,240824.32469066,
2020/05/07 16:47:48.116+00,79,79,Fort Bend,48157,157,259597.08162,1287,2285372025.93262,259597.081619715,32
2020/05/07 16:47:48.116+00,80,80,Franklin,48159,159,148248.25728,3,761036338.663086,148248.257280381,
2020/05/07 16:47:48.116+00,81,81,Freestone,48161,161,253164.806437,7,2300553189.44922,253164.806436739,
2020/05/07 16:47:48.116+00,82,82,Frio,48163,163,217760.778532,25,2930553651.14746,217760.778532169,
2020/05/07 16:47:48.116+00,83,83,Gaines,48165,165,257573.811758,3,3878380227.04053,257573.811757689,
2020/05/07 16:47:48.116+00,84,84,Galveston,48167,167,297830.516928,669,2255976023.17285,297830.516928396,28
2020/05/07 16:47:48.116+00,85,85,Garza,48169,169,191893.986402,3,2313835538.04785,191893.986402467,
2020/05/07 16:47:48.116+00,86,86,Gillespie,48171,171,217226.53194,4,2738799953.00586,217226.531940236,
2020/05/07 16:47:48.116+00,87,87,Glasscock,48173,173,192854.385128,1,2324122891.48584,192854.385127764,
2020/05/07 16:47:48.116+00,88,88,Goliad,48175,175,225891.218003,7,2220851892.62012,225891.218003215,
2020/05/07 16:47:48.116+00,89,89,Gonzales,48177,177,219769.160447,31,2761881351.44336,219769.160446902,2
2020/05/07 16:47:48.116+00,90,90,Gray,48179,179,196341.959094,73,2409327228.02637,196341.959094146,
2020/05/07 16:47:48.116+00,91,91,Grayson,48181,181,243452.478098,60,2529546374.77441,243452.478098151,
2020/05/07 16:47:48.116+00,92,92,Gregg,48183,183,137891.579868,109,711498499.165039,137891.579868432,
2020/05/07 16:47:48.116+00,93,93,Grimes,48185,185,253811.476555,25,2067657981.11816,253811.476554859,1
2020/05/07 16:47:48.116+00,94,94,Guadalupe,48187,187,248179.87085,90,1844991590.71387,248179.870849817,
2020/05/07 16:47:48.116+00,95,95,Hale,48189,189,204183.80929,37,2597508207.15234,204183.809289726,4
2020/05/07 16:47:48.116+00,96,96,Hall,48191,191,193495.595719,,2339238669.375,193495.595718805,
2020/05/07 16:47:48.116+00,97,97,Hamilton,48193,193,200530.466053,5,2157155265.4668,200530.466053027,
2020/05/07 16:47:48.116+00,98,98,Hansford,48195,195,195614.381978,11,2392144294.50977,195614.381978444,2
2020/05/07 16:47:48.116+00,99,99,Hardeman,48197,197,200835.673829,,1802225730.63086,200835.673828656,
2020/05/07 16:47:48.116+00,100,100,Hardin,48199,199,275195.044312,113,2315384507.15234,275195.044311576,3
2020/05/07 16:47:48.116+00,101,101,Harris,48201,201,399771.147792,7244,4586872205.37891,399771.147791633,150
2020/05/07 16:47:48.116+00,102,102,Harrison,48203,203,260338.97755,167,2362866055.19336,260338.977550242,6
2020/05/07 16:47:48.116+00,103,103,Hartley,48205,205,254477.692446,7,3797900153.1499,254477.692445619,2
2020/05/07 16:47:48.116+00,104,104,Haskell,48207,207,193856.190143,,2350141136.56152,193856.190142863,
2020/05/07 16:47:48.116+00,105,105,Hays,48209,209,186682.268552,176,1754287490.88574,186682.268551927,1
2020/05/07 16:47:48.116+00,106,106,Hemphill,48211,211,194731.299017,1,2367588728.40234,194731.299016867,
2020/05/07 16:47:48.116+00,107,107,Henderson,48213,213,305004.574074,34,2446369275.76563,305004.574074355,
2020/05/07 16:47:48.116+00,108,108,Hidalgo,48215,215,346220.869021,359,4111398016.74316,346220.869020551,7
2020/05/07 16:47:48.116+00,109,109,Hill,48217,217,259089.631617,18,2542541287.79004,259089.631616976,1
2020/05/07 16:47:48.116+00,110,110,Hockley,48219,219,193811.141901,19,2347063583.30762,193811.141900777,1
2020/05/07 16:47:48.116+00,111,111,Hood,48221,221,140138.922206,19,1127023261.61621,140138.922206216,3
2020/05/07 16:47:48.116+00,112,112,Hopkins,48223,223,235000.029016,7,2046728359.68848,235000.029015581,
2020/05/07 16:47:48.116+00,113,113,Houston,48225,225,318314.522782,10,3189103266.39063,318314.522782421,
2020/05/07 16:47:48.116+00,114,114,Howard,48227,227,193175.769464,6,2332675273.58301,193175.769463655,1
2020/05/07 16:47:48.116+00,115,115,Hudspeth,48229,229,516939.360656,,11790678991.3564,516939.360656448,
2020/05/07 16:47:48.116+00,116,116,Hunt,48231,231,209695.389144,54,2277092133.32715,209695.389143819,3
2020/05/07 16:47:48.116+00,117,117,Hutchinson,48233,233,192872.00486,19,2322948398.91211,192872.004859858,
2020/05/07 16:47:48.116+00,118,118,Irion,48235,235,208547.686575,,2712129493.42188,208547.686575309,
