ï»¿OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,LastUpdate,Shape__Area,Shape__Length,Deaths
71,71,El Paso,48141,141,248061.353037,986,1588523396286,2617755045.979,248061.353037442,22
72,72,Erath,48143,143,216024.717764,12,1588523396286,2811378055.58301,216024.717764494,1
73,73,Falls,48145,145,182263.145861,4,1588523396286,1995713609.8457,182263.145860665,
74,74,Fannin,48147,147,233225.218711,19,1588523396286,2322011851.00195,233225.21871111,
75,75,Fayette,48149,149,208378.017996,15,1588523396286,2476781722.29883,208378.017995886,1
76,76,Fisher,48151,151,192913.441204,,1588523396286,2327124508.80176,192913.441204056,
77,77,Floyd,48153,153,202937.484945,3,1588523396286,2565834285.86816,202937.484944568,
78,78,Foard,48155,155,240824.324691,,1588523396286,1829172429.57129,240824.32469066,
79,79,Fort Bend,48157,157,259597.08162,1133,1588523396286,2285372025.93262,259597.081619715,27
80,80,Franklin,48159,159,148248.25728,2,1588523396286,761036338.663086,148248.257280381,
81,81,Freestone,48161,161,253164.806437,7,1588523396286,2300553189.44922,253164.806436739,
82,82,Frio,48163,163,217760.778532,10,1588523396286,2930553651.14746,217760.778532169,
83,83,Gaines,48165,165,257573.811758,2,1588523396286,3878380227.04053,257573.811757689,
84,84,Galveston,48167,167,297830.516928,629,1588523396286,2255976023.17285,297830.516928396,28
85,85,Garza,48169,169,191893.986402,3,1588523396286,2313835538.04785,191893.986402467,
86,86,Gillespie,48171,171,217226.53194,3,1588523396286,2738799953.00586,217226.531940236,
87,87,Glasscock,48173,173,192854.385128,1,1588523396286,2324122891.48584,192854.385127764,
88,88,Goliad,48175,175,225891.218003,7,1588523396286,2220851892.62012,225891.218003215,
89,89,Gonzales,48177,177,219769.160447,27,1588523396286,2761881351.44336,219769.160446902,2
90,90,Gray,48179,179,196341.959094,58,1588523396286,2409327228.02637,196341.959094146,
91,91,Grayson,48181,181,243452.478098,41,1588523396286,2529546374.77441,243452.478098151,
92,92,Gregg,48183,183,137891.579868,87,1588523396286,711498499.165039,137891.579868432,
93,93,Grimes,48185,185,253811.476555,22,1588523396286,2067657981.11816,253811.476554859,1
94,94,Guadalupe,48187,187,248179.87085,85,1588523396286,1844991590.71387,248179.870849817,
95,95,Hale,48189,189,204183.80929,29,1588523396286,2597508207.15234,204183.809289726,4
96,96,Hall,48191,191,193495.595719,,1588523396286,2339238669.375,193495.595718805,
97,97,Hamilton,48193,193,200530.466053,5,1588523396286,2157155265.4668,200530.466053027,
98,98,Hansford,48195,195,195614.381978,7,1588523396286,2392144294.50977,195614.381978444,
99,99,Hardeman,48197,197,200835.673829,,1588523396286,1802225730.63086,200835.673828656,
100,100,Hardin,48199,199,275195.044312,103,1588523396286,2315384507.15234,275195.044311576,3
101,101,Harris,48201,201,399771.147792,6708,1588523396286,4586872205.37891,399771.147791633,129
102,102,Harrison,48203,203,260338.97755,140,1588523396286,2362866055.19336,260338.977550242,6
103,103,Hartley,48205,205,254477.692446,5,1588523396286,3797900153.1499,254477.692445619,
104,104,Haskell,48207,207,193856.190143,,1588523396286,2350141136.56152,193856.190142863,
105,105,Hays,48209,209,186682.268552,167,1588523396286,1754287490.88574,186682.268551927,1
106,106,Hemphill,48211,211,194731.299017,1,1588523396286,2367588728.40234,194731.299016867,
107,107,Henderson,48213,213,305004.574074,28,1588523396286,2446369275.76563,305004.574074355,
108,108,Hidalgo,48215,215,346220.869021,340,1588523396286,4111398016.74316,346220.869020551,6
109,109,Hill,48217,217,259089.631617,17,1588523396286,2542541287.79004,259089.631616976,1
110,110,Hockley,48219,219,193811.141901,20,1588523396286,2347063583.30762,193811.141900777,1
111,111,Hood,48221,221,140138.922206,20,1588523396286,1127023261.61621,140138.922206216,3
112,112,Hopkins,48223,223,235000.029016,6,1588523396286,2046728359.68848,235000.029015581,
113,113,Houston,48225,225,318314.522782,7,1588523396286,3189103266.39063,318314.522782421,
114,114,Howard,48227,227,193175.769464,4,1588523396286,2332675273.58301,193175.769463655,1
115,115,Hudspeth,48229,229,516939.360656,,1588523396286,11790678991.3564,516939.360656448,
116,116,Hunt,48231,231,209695.389144,49,1588523396286,2277092133.32715,209695.389143819,2
