OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
88,Texas,TEXAS,25571,3052131034.76758,228460.028217731,0,,,0,,,,,,,,,,,,a6bfd490-d2a9-4bb0-a75f-610a1d83e1d0,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:27:54.733Z,mophep,,,,,,,,,,,
89,Dade,DADE,7569,1310383515.95776,145787.896442858,0,,,,,,,,,,,,,,,f6420339-df3e-4b8f-a557-6301481f3ff1,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:24:47.965Z,mophep,,,,,,,,,,,
90,Wright,WRIGHT,18378,1768598099.69568,170877.837957737,9,,1,6,,,,,,,,,,,,fb671020-3beb-46ea-a818-5b4aeab71329,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:40:44.864Z,mophep,,,,,,,,,,,
91,Webster,WEBSTER,39109,1536456190.32471,162360.638324872,8,,,3,,,,,,,,,,,,9142d538-3802-41d3-ad1a-42056cddf40a,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:37:27.621Z,mophep,,,,,,,,,,,
92,Shannon,SHANNON,8189,2599064106.68262,234085.452439273,0,,,,,,,,,,,,,,,1a288ecb-1774-44ed-bda5-1f095444e2eb,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:26:34.677Z,mophep,,,,,,,,,,,
93,Greene,GREENE,291923,1754251875.79907,172747.570039509,84,7,20,47,,,,,,,,,,0,,c8ac0fb7-9404-4245-80d2-6fb0630ebdeb,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:34:26.492Z,mophep,,,,,,,,,,,
94,Jasper,JASPER,77093,1595623510.88306,215361.498011017,15,,2,7,,,,,,,,,,,,cc8e946b-3b74-4100-a892-96fbef4fde8f,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:50:55.300Z,mophep,,,,,,,,,,,
95,Wayne,WAYNE,13122,2005511469.98853,206593.465163282,0,,,,,,,,,,,,,,,daa12099-41df-4a29-a130-767d5436f59a,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:28:15.350Z,mophep,,,,,,,,,,,
96,Scott,SCOTT,38458,1104171916.76343,172788.711054357,51,1,2,8,,,,,,,,,,,,3aadfebe-8ee6-4725-a095-8abd3cf35b76,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:17:14.948Z,mophep,,,,,,,,,,,
97,Lawrence,LAWRENCE,38359,1587779091.27661,159492.646639474,0,,,,,,,,,,,,,,,ff9c63e3-9636-4a25-92af-370c98f99ff3,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:01:00.546Z,mophep,,,,,,,,,,,
98,Stoddard,STODDARD,29206,2149954094.00366,251505.900647686,18,,2,6,,,,,,,,,,,,ef832d29-ae9a-429c-b771-04d37cf35de6,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:17:33.028Z,mophep,,,,,,,,,,,
99,Mississippi,MISSISSIPPI,13336,1112539538.75171,193949.810945925,0,,,,,,,,,,,,,,,d7d3de5b-cea0-4203-a29a-c7d13cb8044a,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:24:02.232Z,mophep,,,,,,,,,,,
100,Carter,CARTER,6054,1318387592.29102,162620.175441312,3,1,1,2,,,,,,,,,,,,f8c52a0c-9913-4eff-b4b8-304e3575ea60,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:23:00.341Z,mophep,,,,,,,,,,,
101,Christian,CHRISTIAN,86983,1458941049.46204,187200.155542567,17,,4,13,,,,,,,,,,,,f20f5740-3ff6-4f1e-9528-93ac80a05955,2020-03-24T20:48:38.049Z,mophep,2020-04-16T18:39:42.124Z,mophep,,,,,,,,,,,
